draft_year,player,player_id,rookie_season
2018,Deandre Ayton,aytonde01,2019
2018,Marvin Bagley III,baglema01,2019
2018,Luka Dončić,doncilu01,2019
2018,Jaren Jackson Jr.,jacksja02,2019
2018,Trae Young,youngtr01,2019
2018,Mo Bamba,bambamo01,2019
2018,Wendell Carter Jr.,cartewe01,2019
2018,Collin Sexton,sextoco01,2019
2018,Kevin Knox,knoxke01,2019
2018,Mikal Bridges,bridgmi01,2019
2018,Shai Gilgeous-Alexander,gilgesh01,2019
2018,Miles Bridges,bridgmi02,2019
2018,Jerome Robinson,robinje01,2019
2018,Michael Porter Jr.,portemi01,2019
2018,Troy Brown Jr.,browntr01,2019
2018,Zhaire Smith,smithzh01,2019
2018,Donte DiVincenzo,divindo01,2019
2018,Lonnie Walker IV,walkelo01,2019
2018,Kevin Huerter,huertke01,2019
2018,Josh Okogie,okogijo01,2019
2018,Grayson Allen,allengr01,2019
2018,Chandler Hutchison,hutchch01,2019
2018,Aaron Holiday,holidaa01,2019
2018,Anfernee Simons,simonan01,2019
2018,Moritz Wagner,wagnemo01,2019
2018,Landry Shamet,shamela01,2019
2018,Robert Williams,williro04,2019
2018,Jacob Evans,evansja02,2019
2018,Džanan Musa,musadz01,2019
2018,Omari Spellman,spellom01,2019
2018,Elie Okobo,okoboel01,2019
2018,Jevon Carter,carteje01,2019
2018,Jalen Brunson,brunsja01,2019
2018,Devonte' Graham,grahade01,2019
2018,Melvin Frazier,frazime01,2019
2018,Mitchell Robinson,robinmi01,2019
2018,Gary Trent Jr.,trentga02,2019
2018,Khyri Thomas,thomakh01,2019
2018,Isaac Bonga,bongais01,2019
2018,Rodions Kurucs,kurucro01,2019
2018,Jarred Vanderbilt,vandeja01,2019
2018,Bruce Brown,brownbr01,2019
2018,Justin Jackson,jacksju02,2019
2018,Issuf Sanon,sanonis01,2019
2018,Hamidou Diallo,diallha01,2019
2018,De'Anthony Melton,meltode01,2019
2018,Svi Mykhailiuk,mykhasv01,2019
2018,Keita Bates-Diop,bateske01,2019
2018,Chimezie Metu,metuch01,2019
2018,Alize Johnson,johnsal02,2019
2018,Tony Carr,carrto01,2019
2018,Vince Edwards,edwarvi01,2019
2018,Devon Hall,hallde01,2019
2018,Shake Milton,miltosh01,2019
2018,Arnoldas Kulboka,kulboar01,2019
2018,Ray Spalding,spaldra01,2019
2018,Kevin Hervey,herveke01,2019
2018,Thomas Welsh,welshth01,2019
2018,George King,kingge03,2019
2018,Kostas Antetokounmpo,antetko01,2019
